Wavelength,vp25
451.996002,20.40381839
454.221985,20.40381839
456.447998,20.40381839
458.674011,20.40381839
460.899994,20.40381839
463.126007,20.40381839
465.35199,20.40381839
467.578003,20.40381839
469.803986,20.40381839
472.029999,20.40381839
474.256012,20.40381839
476.481995,20.40381839
478.708008,20.40381839
480.93399,20.40381839
483.160004,20.40381839
485.385986,20.40381839
487.612,20.40381839
489.838013,20.40381839
492.063995,20.40381839
494.290009,20.40381839
496.515991,20.40381839
498.742004,20.40381839
500.967987,20.40381839
503.194,20.40381839
505.420013,20.40381839
507.645996,20.40381839
509.872009,20.40381839
512.098022,20.40381839
514.323975,20.40381839
516.549988,20.40381839
518.776001,20.40381839
521.002014,20.40381839
523.228027,20.40381839
525.453979,20.40381839
527.679993,20.40381839
529.906006,20.40381839
532.132019,20.40381839
534.357971,20.40381839
536.583984,20.40381839
538.809998,20.40381839
541.036011,20.40381839
543.260986,20.40381839
545.487,20.40381839
547.713013,20.40381839
549.939026,20.40381839
552.164978,20.40381839
554.390991,20.40381839
556.617004,20.40381839
558.843018,20.40381839
561.06897,20.40381839
563.294983,20.40381839
565.520996,20.40381839
567.747009,20.40381839
569.973022,20.40381839
572.198975,20.40381839
574.424988,20.40381839
576.651001,20.40381839
578.877014,20.40381839
581.103027,20.40381839
583.328979,20.40381839
585.554993,20.40381839
587.781006,20.40381839
590.007019,20.40381839
592.232971,20.40381839
594.458984,20.40381839
596.684998,20.40381839
598.911011,20.40381839
601.137024,20.40381839
603.362976,20.40381839
605.588989,20.40381839
607.815002,20.40381839
610.041016,20.40381839
612.267029,20.40381839
614.492981,20.40381839
616.718994,20.40381839
618.945007,20.40381839
621.171021,20.40381839
623.396973,20.40381839
625.622986,20.40381839
627.848999,20.40381839
630.075012,20.40381839
632.301025,20.40381839
634.526978,20.40381839
636.752991,20.40381839
638.979004,20.40381839
641.205017,20.40381839
643.43103,20.40381839
645.656982,20.40381839
647.882996,20.40381839
650.109009,20.40381839
652.335022,20.40381839
654.560974,20.40381839
656.786987,20.40381839
659.013,20.40381839
661.239014,20.40381839
663.465027,20.40381839
665.690002,20.40381839
667.916016,20.40381839
670.142029,20.40381839
672.367981,20.40381839
674.593994,20.40381839
676.820007,20.40381839
679.046021,20.40381839
681.271973,20.40381839
683.497986,20.40381839
685.723999,20.40381839
687.950012,20.40381839
690.176025,20.40381839
692.401978,20.40381839
694.627991,20.40381839
696.854004,20.40381839
699.080017,20.40381839
701.30603,20.40381839
703.531982,20.40381839
705.757996,20.40381839
707.984009,20.40381839
710.210022,20.40381839
712.435974,20.40381839
714.661987,20.40381839
716.888,20.40381839
719.114014,20.40381839
721.340027,20.40381839
723.565979,20.40381839
725.791992,20.40381839
728.018005,20.40381839
730.244019,20.40381839
732.469971,20.40381839
734.695984,20.40381839
736.921997,20.40381839
739.14801,20.40381839
741.374023,20.40381839
743.599976,20.40381839
745.825989,20.40381839
748.052002,20.40381839
750.278015,20.40381839
752.504028,20.40381839
754.72998,20.40381839
756.955994,20.40381839
759.182007,20.40381839
761.40802,20.40381839
763.633972,20.40381839
765.859985,20.40381839
768.085999,20.40381839
770.312012,20.40381839
772.538025,20.40381839
774.763977,20.40381839
776.989014,20.40381839
779.216003,20.40381839
781.440979,20.40381839
783.666992,20.40381839
785.893005,20.40381839
788.119019,20.40381839
790.344971,20.40381839
792.570984,20.40381839
794.796997,20.40381839
797.02301,20.40381839
799.249023,20.40381839
801.474976,20.40381839
803.700989,20.40381839
805.927002,20.40381839
808.153015,20.40381839
810.379028,20.40381839
812.60498,20.40381839
814.830994,20.40381839
817.057007,20.40381839
819.28302,20.40381839
821.508972,20.40381839
823.734985,20.40381839
825.960999,20.40381839
828.187012,20.40381839
830.413025,20.40381839
832.638977,20.40381839
834.86499,20.40381839
837.091003,20.40381839
839.317017,20.40381839
841.54303,20.40381839
843.768982,20.40381839
845.994995,20.40381839
848.221008,20.40381839
850.447021,20.40381839
852.672974,20.40381839
854.898987,20.40381839
857.125,20.40381839
859.351013,20.40381839
861.577026,20.40381839
863.802979,20.40381839
866.028992,20.40381839
