Wavelength,vp19
451.996002,35.96
454.221985,35.96
456.447998,35.96
458.674011,35.96
460.899994,35.96
463.126007,35.96
465.35199,35.96
467.578003,35.96
469.803986,35.96
472.029999,35.96
474.256012,35.96
476.481995,35.96
478.708008,35.96
480.93399,35.96
483.160004,35.96
485.385986,35.96
487.612,35.96
489.838013,35.96
492.063995,35.96
494.290009,35.96
496.515991,35.96
498.742004,35.96
500.967987,35.96
503.194,35.96
505.420013,35.96
507.645996,35.96
509.872009,35.96
512.098022,35.96
514.323975,35.96
516.549988,35.96
518.776001,35.96
521.002014,35.96
523.228027,35.96
525.453979,35.96
527.679993,35.96
529.906006,35.96
532.132019,35.96
534.357971,35.96
536.583984,35.96
538.809998,35.96
541.036011,35.96
543.260986,35.96
545.487,35.96
547.713013,35.96
549.939026,35.96
552.164978,35.96
554.390991,35.96
556.617004,35.96
558.843018,35.96
561.06897,35.96
563.294983,35.96
565.520996,35.96
567.747009,35.96
569.973022,35.96
572.198975,35.96
574.424988,35.96
576.651001,35.96
578.877014,35.96
581.103027,35.96
583.328979,35.96
585.554993,35.96
587.781006,35.96
590.007019,35.96
592.232971,35.96
594.458984,35.96
596.684998,35.96
598.911011,35.96
601.137024,35.96
603.362976,35.96
605.588989,35.96
607.815002,35.96
610.041016,35.96
612.267029,35.96
614.492981,35.96
616.718994,35.96
618.945007,35.96
621.171021,35.96
623.396973,35.96
625.622986,35.96
627.848999,35.96
630.075012,35.96
632.301025,35.96
634.526978,35.96
636.752991,35.96
638.979004,35.96
641.205017,35.96
643.43103,35.96
645.656982,35.96
647.882996,35.96
650.109009,35.96
652.335022,35.96
654.560974,35.96
656.786987,35.96
659.013,35.96
661.239014,35.96
663.465027,35.96
665.690002,35.96
667.916016,35.96
670.142029,35.96
672.367981,35.96
674.593994,35.96
676.820007,35.96
679.046021,35.96
681.271973,35.96
683.497986,35.96
685.723999,35.96
687.950012,35.96
690.176025,35.96
692.401978,35.96
694.627991,35.96
696.854004,35.96
699.080017,35.96
701.30603,35.96
703.531982,35.96
705.757996,35.96
707.984009,35.96
710.210022,35.96
712.435974,35.96
714.661987,35.96
716.888,35.96
719.114014,35.96
721.340027,35.96
723.565979,35.96
725.791992,35.96
728.018005,35.96
730.244019,35.96
732.469971,35.96
734.695984,35.96
736.921997,35.96
739.14801,35.96
741.374023,35.96
743.599976,35.96
745.825989,35.96
748.052002,35.96
750.278015,35.96
752.504028,35.96
754.72998,35.96
756.955994,35.96
759.182007,35.96
761.40802,35.96
763.633972,35.96
765.859985,35.96
768.085999,35.96
770.312012,35.96
772.538025,35.96
774.763977,35.96
776.989014,35.96
779.216003,35.96
781.440979,35.96
783.666992,35.96
785.893005,35.96
788.119019,35.96
790.344971,35.96
792.570984,35.96
794.796997,35.96
797.02301,35.96
799.249023,35.96
801.474976,35.96
803.700989,35.96
805.927002,35.96
808.153015,35.96
810.379028,35.96
812.60498,35.96
814.830994,35.96
817.057007,35.96
819.28302,35.96
821.508972,35.96
823.734985,35.96
825.960999,35.96
828.187012,35.96
830.413025,35.96
832.638977,35.96
834.86499,35.96
837.091003,35.96
839.317017,35.96
841.54303,35.96
843.768982,35.96
845.994995,35.96
848.221008,35.96
850.447021,35.96
852.672974,35.96
854.898987,35.96
857.125,35.96
859.351013,35.96
861.577026,35.96
863.802979,35.96
866.028992,35.96
868.255005,35.96
870.481018,35.96
872.70697,35.96
874.932983,35.96
877.158997,35.96
879.38501,35.96
881.611023,35.96
883.836975,35.96
886.062988,35.96
888.288025,35.96
890.513977,35.96
892.73999,35.96
894.966003,35.96
897.192017,35.96
899.41803,35.96
957.5,22.53
967.072998,22.53
976.64502,22.53
986.218018,22.53
995.789978,22.53
1005.359985,22.53
1014.940002,22.53
1024.51001,22.53
1034.079956,22.53
1043.650024,22.53
1053.22998,22.53
1062.800049,22.53
1072.369995,22.53
1081.939941,22.53
1091.52002,22.53
1101.089966,22.53
1110.660034,22.53
1120.22998,22.53
1129.810059,22.53
1139.380005,22.53
1148.949951,22.53
1158.52002,22.53
1168.099976,22.53
1177.670044,22.53
1187.23999,22.53
1196.810059,22.53
1206.390015,22.53
1215.959961,22.53
1225.530029,22.53
1235.099976,22.53
1244.680054,22.53
1254.25,22.53
1263.819946,22.53
1273.390015,22.53
1282.969971,22.53
1292.540039,22.53
1302.109985,22.53
1311.680054,22.53
1321.26001,22.53
1330.829956,22.53
1436.119995,22.53
1445.699951,22.53
1455.27002,22.53
1464.839966,22.53
1474.410034,22.53
1483.98999,22.53
1493.560059,22.53
1503.130005,22.53
1512.699951,22.53
1522.280029,22.53
1531.849976,22.53
1541.420044,22.53
1550.98999,22.53
1560.569946,22.53
1570.140015,22.53
1579.709961,22.53
1589.280029,22.53
1598.859985,22.53
1608.430054,22.53
1618.0,22.53
1627.569946,22.53
1637.150024,22.53
1646.719971,22.53
1656.290039,22.53
1665.859985,22.53
1675.439941,22.53
1685.01001,22.53
1694.579956,22.53
1704.150024,22.53
1713.72998,22.53
1723.300049,22.53
1732.869995,22.53
1742.439941,22.53
1752.02002,22.53
1761.589966,22.53
1771.160034,22.53
1981.76001,22.53
1991.329956,22.53
2000.900024,22.53
2010.469971,22.53
2020.050049,22.53
2029.619995,22.53
2039.189941,22.53
2048.76001,22.53
2058.340088,22.53
2067.909912,22.53
2077.47998,22.53
2087.050049,22.53
2096.629883,22.53
2106.199951,22.53
2115.77002,22.53
2125.340088,22.53
2134.919922,22.53
2144.48999,22.53
2154.060059,22.53
2163.629883,22.53
2173.209961,22.53
2182.780029,22.53
2192.350098,22.53
2201.919922,22.53
2211.5,22.53
2221.070068,22.53
2230.639893,22.53
2240.209961,22.53
2249.790039,22.53
2259.360107,22.53
2268.929932,22.53
2278.5,22.53
2288.080078,22.53
2297.649902,22.53
2307.219971,22.53
2316.790039,22.53
