Wavelength,vp37
451.996002,35.84
454.221985,35.84
456.447998,35.84
458.674011,35.84
460.899994,35.84
463.126007,35.84
465.35199,35.84
467.578003,35.84
469.803986,35.84
472.029999,35.84
474.256012,35.84
476.481995,35.84
478.708008,35.84
480.93399,35.84
483.160004,35.84
485.385986,35.84
487.612,35.84
489.838013,35.84
492.063995,35.84
494.290009,35.84
496.515991,35.84
498.742004,35.84
500.967987,35.84
503.194,35.84
505.420013,35.84
507.645996,35.84
509.872009,35.84
512.098022,35.84
514.323975,35.84
516.549988,35.84
518.776001,35.84
521.002014,35.84
523.228027,35.84
525.453979,35.84
527.679993,35.84
529.906006,35.84
532.132019,35.84
534.357971,35.84
536.583984,35.84
538.809998,35.84
541.036011,35.84
543.260986,35.84
545.487,35.84
547.713013,35.84
549.939026,35.84
552.164978,35.84
554.390991,35.84
556.617004,35.84
558.843018,35.84
561.06897,35.84
563.294983,35.84
565.520996,35.84
567.747009,35.84
569.973022,35.84
572.198975,35.84
574.424988,35.84
576.651001,35.84
578.877014,35.84
581.103027,35.84
583.328979,35.84
585.554993,35.84
587.781006,35.84
590.007019,35.84
592.232971,35.84
594.458984,35.84
596.684998,35.84
598.911011,35.84
601.137024,35.84
603.362976,35.84
605.588989,35.84
607.815002,35.84
610.041016,35.84
612.267029,35.84
614.492981,35.84
616.718994,35.84
618.945007,35.84
621.171021,35.84
623.396973,35.84
625.622986,35.84
627.848999,35.84
630.075012,35.84
632.301025,35.84
634.526978,35.84
636.752991,35.84
638.979004,35.84
641.205017,35.84
643.43103,35.84
645.656982,35.84
647.882996,35.84
650.109009,35.84
652.335022,35.84
654.560974,35.84
656.786987,35.84
659.013,35.84
661.239014,35.84
663.465027,35.84
665.690002,35.84
667.916016,35.84
670.142029,35.84
672.367981,35.84
674.593994,35.84
676.820007,35.84
679.046021,35.84
681.271973,35.84
683.497986,35.84
685.723999,35.84
687.950012,35.84
690.176025,35.84
692.401978,35.84
694.627991,35.84
696.854004,35.84
699.080017,35.84
701.30603,35.84
703.531982,35.84
705.757996,35.84
707.984009,35.84
710.210022,35.84
712.435974,35.84
714.661987,35.84
716.888,35.84
719.114014,35.84
721.340027,35.84
723.565979,35.84
725.791992,35.84
728.018005,35.84
730.244019,35.84
732.469971,35.84
734.695984,35.84
736.921997,35.84
739.14801,35.84
741.374023,35.84
743.599976,35.84
745.825989,35.84
748.052002,35.84
750.278015,35.84
752.504028,35.84
754.72998,35.84
756.955994,35.84
759.182007,35.84
761.40802,35.84
763.633972,35.84
765.859985,35.84
768.085999,35.84
770.312012,35.84
772.538025,35.84
774.763977,35.84
776.989014,35.84
779.216003,35.84
781.440979,35.84
783.666992,35.84
785.893005,35.84
788.119019,35.84
790.344971,35.84
792.570984,35.84
794.796997,35.84
797.02301,35.84
799.249023,35.84
801.474976,35.84
803.700989,35.84
805.927002,35.84
808.153015,35.84
810.379028,35.84
812.60498,35.84
814.830994,35.84
817.057007,35.84
819.28302,35.84
821.508972,35.84
823.734985,35.84
825.960999,35.84
828.187012,35.84
830.413025,35.84
832.638977,35.84
834.86499,35.84
837.091003,35.84
839.317017,35.84
841.54303,35.84
843.768982,35.84
845.994995,35.84
848.221008,35.84
850.447021,35.84
852.672974,35.84
854.898987,35.84
857.125,35.84
859.351013,35.84
861.577026,35.84
863.802979,35.84
866.028992,35.84
868.255005,35.84
870.481018,35.84
872.70697,35.84
874.932983,35.84
877.158997,35.84
879.38501,35.84
881.611023,35.84
883.836975,35.84
886.062988,35.84
888.288025,35.84
890.513977,35.84
892.73999,35.84
894.966003,35.84
897.192017,35.84
899.41803,35.84
957.5,22.98
967.072998,22.98
976.64502,22.98
986.218018,22.98
995.789978,22.98
1005.359985,22.98
1014.940002,22.98
1024.51001,22.98
1034.079956,22.98
1043.650024,22.98
1053.22998,22.98
1062.800049,22.98
1072.369995,22.98
1081.939941,22.98
1091.52002,22.98
1101.089966,22.98
1110.660034,22.98
1120.22998,22.98
1129.810059,22.98
1139.380005,22.98
1148.949951,22.98
1158.52002,22.98
1168.099976,22.98
1177.670044,22.98
1187.23999,22.98
1196.810059,22.98
1206.390015,22.98
1215.959961,22.98
1225.530029,22.98
1235.099976,22.98
1244.680054,22.98
1254.25,22.98
1263.819946,22.98
1273.390015,22.98
1282.969971,22.98
1292.540039,22.98
1302.109985,22.98
1311.680054,22.98
1321.26001,22.98
1330.829956,22.98
1436.119995,22.98
1445.699951,22.98
1455.27002,22.98
1464.839966,22.98
1474.410034,22.98
1483.98999,22.98
1493.560059,22.98
1503.130005,22.98
1512.699951,22.98
1522.280029,22.98
1531.849976,22.98
1541.420044,22.98
1550.98999,22.98
1560.569946,22.98
1570.140015,22.98
1579.709961,22.98
1589.280029,22.98
1598.859985,22.98
1608.430054,22.98
1618.0,22.98
1627.569946,22.98
1637.150024,22.98
1646.719971,22.98
1656.290039,22.98
1665.859985,22.98
1675.439941,22.98
1685.01001,22.98
1694.579956,22.98
1704.150024,22.98
1713.72998,22.98
1723.300049,22.98
1732.869995,22.98
1742.439941,22.98
1752.02002,22.98
1761.589966,22.98
1771.160034,22.98
1981.76001,22.98
1991.329956,22.98
2000.900024,22.98
2010.469971,22.98
2020.050049,22.98
2029.619995,22.98
2039.189941,22.98
2048.76001,22.98
2058.340088,22.98
2067.909912,22.98
2077.47998,22.98
2087.050049,22.98
2096.629883,22.98
2106.199951,22.98
2115.77002,22.98
2125.340088,22.98
2134.919922,22.98
2144.48999,22.98
2154.060059,22.98
2163.629883,22.98
2173.209961,22.98
2182.780029,22.98
2192.350098,22.98
2201.919922,22.98
2211.5,22.98
2221.070068,22.98
2230.639893,22.98
2240.209961,22.98
2249.790039,22.98
2259.360107,22.98
2268.929932,22.98
2278.5,22.98
2288.080078,22.98
2297.649902,22.98
2307.219971,22.98
2316.790039,22.98
