Wavelength,vp91
451.996002,50.64
454.221985,50.64
456.447998,50.64
458.674011,50.64
460.899994,50.64
463.126007,50.64
465.35199,50.64
467.578003,50.64
469.803986,50.64
472.029999,50.64
474.256012,50.64
476.481995,50.64
478.708008,50.64
480.93399,50.64
483.160004,50.64
485.385986,50.64
487.612,50.64
489.838013,50.64
492.063995,50.64
494.290009,50.64
496.515991,50.64
498.742004,50.64
500.967987,50.64
503.194,50.64
505.420013,50.64
507.645996,50.64
509.872009,50.64
512.098022,50.64
514.323975,50.64
516.549988,50.64
518.776001,50.64
521.002014,50.64
523.228027,50.64
525.453979,50.64
527.679993,50.64
529.906006,50.64
532.132019,50.64
534.357971,50.64
536.583984,50.64
538.809998,50.64
541.036011,50.64
543.260986,50.64
545.487,50.64
547.713013,50.64
549.939026,50.64
552.164978,50.64
554.390991,50.64
556.617004,50.64
558.843018,50.64
561.06897,50.64
563.294983,50.64
565.520996,50.64
567.747009,50.64
569.973022,50.64
572.198975,50.64
574.424988,50.64
576.651001,50.64
578.877014,50.64
581.103027,50.64
583.328979,50.64
585.554993,50.64
587.781006,50.64
590.007019,50.64
592.232971,50.64
594.458984,50.64
596.684998,50.64
598.911011,50.64
601.137024,50.64
603.362976,50.64
605.588989,50.64
607.815002,50.64
610.041016,50.64
612.267029,50.64
614.492981,50.64
616.718994,50.64
618.945007,50.64
621.171021,50.64
623.396973,50.64
625.622986,50.64
627.848999,50.64
630.075012,50.64
632.301025,50.64
634.526978,50.64
636.752991,50.64
638.979004,50.64
641.205017,50.64
643.43103,50.64
645.656982,50.64
647.882996,50.64
650.109009,50.64
652.335022,50.64
654.560974,50.64
656.786987,50.64
659.013,50.64
661.239014,50.64
663.465027,50.64
665.690002,50.64
667.916016,50.64
670.142029,50.64
672.367981,50.64
674.593994,50.64
676.820007,50.64
679.046021,50.64
681.271973,50.64
683.497986,50.64
685.723999,50.64
687.950012,50.64
690.176025,50.64
692.401978,50.64
694.627991,50.64
696.854004,50.64
699.080017,50.64
701.30603,50.64
703.531982,50.64
705.757996,50.64
707.984009,50.64
710.210022,50.64
712.435974,50.64
714.661987,50.64
716.888,50.64
719.114014,50.64
721.340027,50.64
723.565979,50.64
725.791992,50.64
728.018005,50.64
730.244019,50.64
732.469971,50.64
734.695984,50.64
736.921997,50.64
739.14801,50.64
741.374023,50.64
743.599976,50.64
745.825989,50.64
748.052002,50.64
750.278015,50.64
752.504028,50.64
754.72998,50.64
756.955994,50.64
759.182007,50.64
761.40802,50.64
763.633972,50.64
765.859985,50.64
768.085999,50.64
770.312012,50.64
772.538025,50.64
774.763977,50.64
776.989014,50.64
779.216003,50.64
781.440979,50.64
783.666992,50.64
785.893005,50.64
788.119019,50.64
790.344971,50.64
792.570984,50.64
794.796997,50.64
797.02301,50.64
799.249023,50.64
801.474976,50.64
803.700989,50.64
805.927002,50.64
808.153015,50.64
810.379028,50.64
812.60498,50.64
814.830994,50.64
817.057007,50.64
819.28302,50.64
821.508972,50.64
823.734985,50.64
825.960999,50.64
828.187012,50.64
830.413025,50.64
832.638977,50.64
834.86499,50.64
837.091003,50.64
839.317017,50.64
841.54303,50.64
843.768982,50.64
845.994995,50.64
848.221008,50.64
850.447021,50.64
852.672974,50.64
854.898987,50.64
857.125,50.64
859.351013,50.64
861.577026,50.64
863.802979,50.64
866.028992,50.64
868.255005,50.64
870.481018,50.64
872.70697,50.64
874.932983,50.64
877.158997,50.64
879.38501,50.64
881.611023,50.64
883.836975,50.64
886.062988,50.64
888.288025,50.64
890.513977,50.64
892.73999,50.64
894.966003,50.64
897.192017,50.64
899.41803,50.64
957.5,48.75
967.072998,48.75
976.64502,48.75
986.218018,48.75
995.789978,48.75
1005.359985,48.75
1014.940002,48.75
1024.51001,48.75
1034.079956,48.75
1043.650024,48.75
1053.22998,48.75
1062.800049,48.75
1072.369995,48.75
1081.939941,48.75
1091.52002,48.75
1101.089966,48.75
1110.660034,48.75
1120.22998,48.75
1129.810059,48.75
1139.380005,48.75
1148.949951,48.75
1158.52002,48.75
1168.099976,48.75
1177.670044,48.75
1187.23999,48.75
1196.810059,48.75
1206.390015,48.75
1215.959961,48.75
1225.530029,48.75
1235.099976,48.75
1244.680054,48.75
1254.25,48.75
1263.819946,48.75
1273.390015,48.75
1282.969971,48.75
1292.540039,48.75
1302.109985,48.75
1311.680054,48.75
1321.26001,48.75
1330.829956,48.75
1436.119995,48.75
1445.699951,48.75
1455.27002,48.75
1464.839966,48.75
1474.410034,48.75
1483.98999,48.75
1493.560059,48.75
1503.130005,48.75
1512.699951,48.75
1522.280029,48.75
1531.849976,48.75
1541.420044,48.75
1550.98999,48.75
1560.569946,48.75
1570.140015,48.75
1579.709961,48.75
1589.280029,48.75
1598.859985,48.75
1608.430054,48.75
1618.0,48.75
1627.569946,48.75
1637.150024,48.75
1646.719971,48.75
1656.290039,48.75
1665.859985,48.75
1675.439941,48.75
1685.01001,48.75
1694.579956,48.75
1704.150024,48.75
1713.72998,48.75
1723.300049,48.75
1732.869995,48.75
1742.439941,48.75
1752.02002,48.75
1761.589966,48.75
1771.160034,48.75
1981.76001,48.75
1991.329956,48.75
2000.900024,48.75
2010.469971,48.75
2020.050049,48.75
2029.619995,48.75
2039.189941,48.75
