Wavelength,vp51
451.996002,50.35
454.221985,50.35
456.447998,50.35
458.674011,50.35
460.899994,50.35
463.126007,50.35
465.35199,50.35
467.578003,50.35
469.803986,50.35
472.029999,50.35
474.256012,50.35
476.481995,50.35
478.708008,50.35
480.93399,50.35
483.160004,50.35
485.385986,50.35
487.612,50.35
489.838013,50.35
492.063995,50.35
494.290009,50.35
496.515991,50.35
498.742004,50.35
500.967987,50.35
503.194,50.35
505.420013,50.35
507.645996,50.35
509.872009,50.35
512.098022,50.35
514.323975,50.35
516.549988,50.35
518.776001,50.35
521.002014,50.35
523.228027,50.35
525.453979,50.35
527.679993,50.35
529.906006,50.35
532.132019,50.35
534.357971,50.35
536.583984,50.35
538.809998,50.35
541.036011,50.35
543.260986,50.35
545.487,50.35
547.713013,50.35
549.939026,50.35
552.164978,50.35
554.390991,50.35
556.617004,50.35
558.843018,50.35
561.06897,50.35
563.294983,50.35
565.520996,50.35
567.747009,50.35
569.973022,50.35
572.198975,50.35
574.424988,50.35
576.651001,50.35
578.877014,50.35
581.103027,50.35
583.328979,50.35
585.554993,50.35
587.781006,50.35
590.007019,50.35
592.232971,50.35
594.458984,50.35
596.684998,50.35
598.911011,50.35
601.137024,50.35
603.362976,50.35
605.588989,50.35
607.815002,50.35
610.041016,50.35
612.267029,50.35
614.492981,50.35
616.718994,50.35
618.945007,50.35
621.171021,50.35
623.396973,50.35
625.622986,50.35
627.848999,50.35
630.075012,50.35
632.301025,50.35
634.526978,50.35
636.752991,50.35
638.979004,50.35
641.205017,50.35
643.43103,50.35
645.656982,50.35
647.882996,50.35
650.109009,50.35
652.335022,50.35
654.560974,50.35
656.786987,50.35
659.013,50.35
661.239014,50.35
663.465027,50.35
665.690002,50.35
667.916016,50.35
670.142029,50.35
672.367981,50.35
674.593994,50.35
676.820007,50.35
679.046021,50.35
681.271973,50.35
683.497986,50.35
685.723999,50.35
687.950012,50.35
690.176025,50.35
692.401978,50.35
694.627991,50.35
696.854004,50.35
699.080017,50.35
701.30603,50.35
703.531982,50.35
705.757996,50.35
707.984009,50.35
710.210022,50.35
712.435974,50.35
714.661987,50.35
716.888,50.35
719.114014,50.35
721.340027,50.35
723.565979,50.35
725.791992,50.35
728.018005,50.35
730.244019,50.35
732.469971,50.35
734.695984,50.35
736.921997,50.35
739.14801,50.35
741.374023,50.35
743.599976,50.35
745.825989,50.35
748.052002,50.35
750.278015,50.35
752.504028,50.35
754.72998,50.35
756.955994,50.35
759.182007,50.35
761.40802,50.35
763.633972,50.35
765.859985,50.35
768.085999,50.35
770.312012,50.35
772.538025,50.35
774.763977,50.35
776.989014,50.35
779.216003,50.35
781.440979,50.35
783.666992,50.35
785.893005,50.35
788.119019,50.35
790.344971,50.35
792.570984,50.35
794.796997,50.35
797.02301,50.35
799.249023,50.35
801.474976,50.35
803.700989,50.35
805.927002,50.35
808.153015,50.35
810.379028,50.35
812.60498,50.35
814.830994,50.35
817.057007,50.35
819.28302,50.35
821.508972,50.35
823.734985,50.35
825.960999,50.35
828.187012,50.35
830.413025,50.35
832.638977,50.35
834.86499,50.35
837.091003,50.35
839.317017,50.35
841.54303,50.35
843.768982,50.35
845.994995,50.35
848.221008,50.35
850.447021,50.35
852.672974,50.35
854.898987,50.35
857.125,50.35
859.351013,50.35
861.577026,50.35
863.802979,50.35
866.028992,50.35
868.255005,50.35
870.481018,50.35
872.70697,50.35
874.932983,50.35
877.158997,50.35
879.38501,50.35
881.611023,50.35
883.836975,50.35
886.062988,50.35
888.288025,50.35
890.513977,50.35
892.73999,50.35
894.966003,50.35
897.192017,50.35
899.41803,50.35
957.5,48.45
967.072998,48.45
976.64502,48.45
986.218018,48.45
995.789978,48.45
1005.359985,48.45
1014.940002,48.45
1024.51001,48.45
1034.079956,48.45
1043.650024,48.45
1053.22998,48.45
1062.800049,48.45
1072.369995,48.45
1081.939941,48.45
1091.52002,48.45
1101.089966,48.45
1110.660034,48.45
1120.22998,48.45
1129.810059,48.45
1139.380005,48.45
1148.949951,48.45
1158.52002,48.45
1168.099976,48.45
1177.670044,48.45
1187.23999,48.45
1196.810059,48.45
1206.390015,48.45
1215.959961,48.45
1225.530029,48.45
1235.099976,48.45
1244.680054,48.45
1254.25,48.45
1263.819946,48.45
1273.390015,48.45
1282.969971,48.45
1292.540039,48.45
1302.109985,48.45
1311.680054,48.45
1321.26001,48.45
1330.829956,48.45
1436.119995,48.45
1445.699951,48.45
1455.27002,48.45
1464.839966,48.45
1474.410034,48.45
1483.98999,48.45
1493.560059,48.45
1503.130005,48.45
1512.699951,48.45
1522.280029,48.45
1531.849976,48.45
1541.420044,48.45
1550.98999,48.45
1560.569946,48.45
1570.140015,48.45
1579.709961,48.45
1589.280029,48.45
1598.859985,48.45
1608.430054,48.45
1618.0,48.45
1627.569946,48.45
1637.150024,48.45
1646.719971,48.45
1656.290039,48.45
1665.859985,48.45
1675.439941,48.45
1685.01001,48.45
1694.579956,48.45
1704.150024,48.45
1713.72998,48.45
1723.300049,48.45
1732.869995,48.45
1742.439941,48.45
1752.02002,48.45
1761.589966,48.45
1771.160034,48.45
1981.76001,48.45
1991.329956,48.45
2000.900024,48.45
2010.469971,48.45
2020.050049,48.45
2029.619995,48.45
2039.189941,48.45
2048.76001,48.45
2058.340088,48.45
2067.909912,48.45
2077.47998,48.45
2087.050049,48.45
2096.629883,48.45
2106.199951,48.45
2115.77002,48.45
2125.340088,48.45
2134.919922,48.45
2144.48999,48.45
2154.060059,48.45
2163.629883,48.45
2173.209961,48.45
2182.780029,48.45
2192.350098,48.45
2201.919922,48.45
2211.5,48.45
2221.070068,48.45
2230.639893,48.45
2240.209961,48.45
2249.790039,48.45
2259.360107,48.45
2268.929932,48.45
2278.5,48.45
2288.080078,48.45
2297.649902,48.45
2307.219971,48.45
2316.790039,48.45
